SimNum, OptParm, OptParmErr, OptParm, OptParmErr, ChiSqr, ChiSqrProb, HiTracer, HiChiSqr, Iters, Time, ModConcs, ModConcs, ModConcs, SimConcs, SimConcs, SimConcs, 
1, 99.3033, 0.998989, 1.30805, 0.1813, 0.627262, 0.428362, 0, 0.311299, 50, 1.65, 4.27563, 28.2993, 0.819342, 4.02077, 31.0154, 0.830362, 
2, 59.4972, 7.69907, 0.769952, 0.170674, 0.559713, 0.454376, 1, 0.373054, 8, 1.77, 4.9703, 31.8961, 0.992737, 4.781, 34.8919, 1.00655, 
3, 94.333, 3.14312, 1.23268, 0.180372, 0.377513, 0.538937, 1, 0.246795, 20, 2.365, 4.33513, 28.6811, 0.827413, 4.4939, 26.2445, 0.816133, 
4, 63.8085, 3.04813, 0.675602, 0.105887, 0.0307569, 0.860784, 1, 0.0201742, 14, 2.583, 5.02158, 33.909, 0.812625, 4.97674, 34.6055, 0.816133, 
5, 78.7114, 8.48106, 0.783652, 0.163482, 0.0623324, 0.802847, 1, 0.0404827, 6, 2.689, 4.69236, 32.6608, 0.685413, 4.75675, 31.6739, 0.680381, 
6, 96.4369, 9.31731, 1.04369, 0.206802, 5.49321e-06, 0.99813, 1, 3.50352e-06, 6, 2.873, 4.34594, 30.0878, 0.681855, 4.34656, 30.0786, 0.681809, 
7, 75.7189, 0.998364, 0.954293, 0.132916, 2.93883, 0.0864736, 1, 1.93747, 20, 3.274, 4.63978, 30.5629, 0.868671, 4.20136, 37.3903, 0.900701, 
8, 97.7791, 3.14322, 1.17764, 0.178743, 1.05485, 0.304393, 1, 0.68161, 22, 3.95, 4.31003, 29.1302, 0.7554, 4.04214, 33.1796, 0.774781, 
9, 68.6281, 8.36474, 0.871168, 0.184744, 0.00759763, 0.930541, 1, 0.00501399, 7, 4.073, 4.77489, 31.1709, 0.912918, 4.79718, 30.8236, 0.911304, 
10, 72.122, 3.11499, 1.00408, 0.145735, 0.021097, 0.884515, 1, 0.0140201, 9, 4.357, 4.63836, 29.7471, 0.967602, 4.60141, 30.3278, 0.970218, 
11, 77.5811, 8.76249, 0.926563, 0.189892, 1.56185, 0.211394, 1, 1.01886, 5, 4.454, 4.63197, 30.9453, 0.81942, 4.95473, 25.9943, 0.795774, 
12, 54.7319, 6.56053, 0.558641, 0.117514, 0.0188857, 0.890695, 1, 0.0125563, 7, 4.543, 5.33685, 35.7225, 0.865598, 5.30228, 36.2721, 0.868374, 
